"pkg_name","pkg_version","license_group","roxygen_yn","n_depends","rversion_min","rversion_min_modified","nauthors"
"processmapR",0,"MIT",1,8,NA,304.1,4
"spup",0,"GPL",1,14,303,303,5
"disco",0,"GPL",1,4,210,210,2
"drtmle",1,"MIT",1,11,302,302,2
"neatmaps",1,"MIT",1,9,304,304,1
"simule",1,"GPL",1,3,300,300,3
"bupaR",0,"MIT",1,5,NA,304,1
"GenomicMating",1,"GPL",0,5,NA,304,4
"ImputeRobust",1,"GPL",1,6,302,302,2
"biolink",0,"MIT",1,8,NA,304,1
"crplyr",0,"LGPL",1,7,300,300,2
"expint",0,"GPL",0,0,303,303,8
"learnr",0,"Apache",1,14,NA,304.1,11
"mfe",0,"GPL",1,11,303,303,3
"multicmp",1,"GPL",1,2,NA,304.1,4
"pool",0,"GPL",1,9,300,300,3
"SCORPIUS",1,"GPL",1,24,300,300,2
"support.BWS2",0,"GPL",0,2,NA,303.3,1
"taxlist",0,"GPL",0,10,300,300,1
"vegtable",0,"GPL",0,9,300,300,1
"cld3",1,"Apache",1,4,NA,304.1,2
"dynOmics",1,"GPL",1,5,300,300,4
"prioritizr",0,"MIT",1,18,301,301,8
"raptr",0,"GPL",1,37,301,301,4
"ropercenter",0,"MIT",1,9,NA,304,1
"SimMultiCorrData",0,"GPL",1,15,303,303,1
"colordistance",0,"GPL",1,16,303,303,1
"CytobankAPIstats",1,"Artistic-2.0",1,6,NA,304.2,1
"dng",0,"GPL",0,3,300,300,2
"GBJ",0,"GPL",1,9,210,210,1
"ClusterBootstrap",0,"GPL",1,4,300,300,2
"fetchR",1,"GPL",1,9,NA,304,1
"jpmesh",0,"MIT",1,15,210,210,1
"padr",0,"MIT",1,11,300,300,1
"treeDA",0,"GPL",1,11,304,304,1
"unpivotr",0,"MIT",1,14,302,302,1
"catcont",0,"GPL",1,1,304,304,2
"cellWise",1,"GPL",0,10,302,302,3
"multinet",1,"GPL",0,4,NA,303.3,5
"phylogram",1,"GPL",1,8,300,300,2
"coreCT",1,"GPL",1,6,300,300,2
"mosaicCore",0,"GPL",1,8,300,300,3
"patternplot",0,"GPL",1,15,300,300,2
"RIA",1,"AGPL",1,1,303,303,1
"splot",0,"GPL",1,6,301,301,1
"hexSticker",0,"Artistic-2.0",1,6,303,303,4
"KnowBR",1,"GPL",0,3,300,300,1
"subscreen",0,"GPL",1,9,NA,304.2,5
"BUCSS",0,"GPL",1,1,NA,303.3,2
"fastDummies",0,"GPL",1,1,210,210,2
"googleLanguageR",0,"MIT",1,16,303,303,3
"LEGIT",1,"GPL",1,5,NA,303.3,1
"mlrMBO",1,"BSD",1,31,NA,304,6
"tidyxl",0,"GPL",1,6,302,302,5
"momentuHMM",1,"GPL",1,29,210,210,2
"womblR",1,"GPL",1,12,300,300,1
"chinese.misc",0,"GPL",1,5,303,303,1
"cstab",0,"GPL",1,4,301,301,2
"ggimage",0,"Artistic-2.0",1,6,303,303,1
"prodest",0,"GPL",0,7,210,210,1
"rdiversity",1,"GPL",1,13,NA,304.1,2
"spam64",1,"LGPL",0,1,NA,304.2,14
"uptasticsearch",0,"BSD",1,10,303,303,7
"ahnr",0,"GPL",1,9,303,303,1
"asciiSetupReader",1,"GPL",1,5,210,210,1
"bayeslm",0,"LGPL",0,3,210,210,3
"CircularDDM",0,"GPL",1,3,300,300,3
"MetaComp",1,"GPL",1,7,301,301,1
"fuser",1,"GPL",1,11,302,302,2
"walrus",1,"GPL",1,5,NA,304.1,2
"AdhereR",0,"GPL",1,7,300,300,3
"bsamGP",1,"GPL",1,3,NA,304.2,4
"loder",0,"BSD",1,1,NA,304.1,2
"MultisiteMediation",0,"GPL",1,3,301,301,4
"prophet",0,"BSD",1,14,302,302,2
"jpndistrict",0,"MIT",1,24,301,301,2
"lingtypology",1,"GPL",1,10,210,210,1
"tuckerR.mmgg",1,"GPL",1,2,303,303,4
"ROpenDota",0,"MIT",1,2,302,302,1
"beginr",0,"GPL",1,0,301,301,1
"diceR",0,"MIT",1,35,302,302,3
"jwutil",1,"GPL",1,9,300,300,1
"leaflet.minicharts",0,"GPL",1,5,210,210,4
"manipulateWidget",0,"GPL",1,10,NA,303.3,8
"ompr",0,"GPL",1,6,302,302,1
"ompr.roi",0,"GPL",1,5,302,302,1
"rclimateca",0,"GPL",1,6,210,210,1
"StatCharrms",0,"CC0",1,14,301,301,3
"teachingApps",1,"GPL",1,36,301,301,2
"odbc",1,"MIT",1,10,NA,303.3,5
"bivrp",1,"GPL",0,5,300,300,3
"briskaR",0,"GPL",1,16,300,300,5
"ConR",1,"GPL",0,13,303,303,1
"fst",0,"BSD",1,4,300,300,4
"LAM",0,"GPL",0,12,301,301,1
"mixR",0,"GPL",1,5,NA,303.3,1
"RegularizedSCA",0,"GPL",1,10,210,210,2
"textshape",0,"GPL",1,5,302,302,4
"tigreBrowserWriter",0,"AGPL",1,2,214,214,2
"wikilake",0,"GPL",1,11,303,303,1
"SPAtest",1,"GPL",0,0,300,300,2
"alterryx",0,"GPL",1,7,NA,304,1
"networktools",1,"GPL",1,14,300,300,1
"powerCompRisk",0,"GPL",1,2,301,301,4
"Tcomp",1,"GPL",1,7,301,301,1
"pkr",0,"GPL",0,3,200,200,2
"qrcmNP",0,"GPL",1,6,NA,304.2,1
"rwc",1,"GPL",0,4,210,210,1
"tangram",0,"GPL",1,10,302,302,4
"excerptr",1,"BSD",1,7,303,303,1
"LocalControl",1,"Apache",1,7,210,210,7
"shinymaterial",0,"GPL",1,1,NA,304,5
"hmi",0,"GPL",1,18,300,300,3
"PSTR",1,"GPL",1,4,300,300,1
"sitreeE",0,"GPL",0,1,301,301,1
"welchADF",0,"LGPL",1,0,NA,304.1,1
"metaforest",0,"GPL",1,5,304,304,1
"redux",1,"GPL",1,5,302,302,1
"graphkernels",1,"GPL",0,4,NA,304,1
"purrrlyr",0,"GPL",1,9,NA,304.1,3
"ramcmc",0,"GPL",1,5,NA,303.3,1
"RatingScaleReduction",1,"GPL",0,2,NA,303.3,3
"RchivalTag",0,"CC BY",0,15,300,300,1
"rdwd",0,"GPL",1,8,210,210,1
"StructFDR",1,"GPL",0,4,301,301,1
"DClusterm",0,"GPL",1,12,210,210,3
"joineRML",0,"GPL",1,14,301,301,8
"qgam",1,"GPL",1,9,NA,304.2,4
"RHMS",1,"GPL",0,4,300,300,1
"MetaLonDA",1,"GPL",1,8,301,301,4
"aws.s3",0,"GPL",1,9,NA,304.1,8
"clampSeg",1,"GPL",0,6,300,300,4
"DisHet",0,"GPL",0,2,215,215,1
"edgarWebR",0,"MIT",1,10,303,303,1
"PeakSegOptimal",0,"GPL",0,5,210,210,1
"BiDAG",1,"GPL",1,6,NA,304.2,2
"DPP",0,"MIT",1,4,NA,304.2,3
"lvec",0,"GPL",1,3,300,300,1
"neurohcp",0,"GPL",1,8,NA,304.1,2
"bssm",0,"GPL",1,13,301,301,2
"frailtyEM",0,"GPL",1,13,NA,304,2
"ukbtools",0,"GPL",1,9,210,210,1
"unsystation",0,"GPL",1,8,NA,303.2,1
"ALA4R",1,"MPL",1,23,NA,303.3,7
"genotypeR",0,"GPL",1,10,303,303,3
"ICtest",0,"GPL",0,14,NA,303.3,4
"margins",0,"MIT",1,11,NA,304,3
"microPop",1,"GPL",1,1,NA,304,1
"philentropy",0,"GPL",1,6,301,301,1
"prediction",0,"MIT",1,6,NA,303.2,2
"quadprogXT",0,"GPL",1,2,303,303,1
"regnet",0,"GPL",1,2,301,301,6
"templates",0,"MIT",1,9,303,303,1
"ziphsmm",1,"GPL",1,3,301,301,2
"AIG",0,"GPL",1,3,NA,303.3,3
"easycsv",1,"GPL",1,0,302,302,1
"kableExtra",0,"MIT",1,7,301,301,12
"tabularaster",0,"GPL",1,14,302,302,1
"MAVE",0,"GPL",1,4,NA,303.3,2
"HURDAT",0,"MIT",1,12,304,304,2
"kutils",0,"GPL",1,8,210,210,6
"StepSignalMargiLike",1,"GPL",0,2,NA,304.2,3
"CrossValidate",1,"Apache",0,4,300,300,1
"GAparsimony",0,"GPL",0,18,300,300,1
"ggjoy",0,"GPL",1,6,303,303,1
"Modeler",1,"Apache",0,13,210,210,1
"randgeo",0,"MIT",1,5,NA,303.3,3
"rdist",0,"GPL",1,4,302,302,1
"rsurface",1,"MIT",1,4,304,304,2
"SIBERG",1,"Apache",0,3,NA,304.2,2
"simsurv",0,"GPL",1,6,303,303,2
"Umpire",1,"Apache",0,4,300,300,2
"ClassComparison",1,"Apache",0,6,300,300,1
"datadogr",0,"MIT",1,11,NA,304.1,1
"diffusr",0,"GPL",1,8,NA,303.3,1
"implyr",0,"Apache",1,8,301,301,2
"oompaBase",1,"Apache",0,5,300,300,1
"Polychrome",0,"Apache",0,10,300,300,2
"PreProcess",1,"Apache",0,4,300,300,1
"TailRank",1,"Apache",0,7,300,300,1
"tukeytrend",0,"GPL",0,19,NA,304.1,3
"ChoR",0,"GPL",1,4,NA,303.3,3
"datasus",0,"GPL",1,11,NA,304.1,1
"rust",1,"GPL",1,8,NA,303.2,1
"HTSSIP",1,"GPL",1,14,301,301,2
"missRanger",1,"GPL",1,3,303,303,1
"PBNPA",0,"GPL",1,1,215,215,3
"vortexR",1,"GPL",1,17,301,301,2
"base64url",1,"Apache",1,8,NA,303.2,3
"ffstream",0,"GPL",1,6,303,303,1
"MTA",0,"GPL",1,10,300,300,3
"rbi",0,"GPL",1,4,NA,303.2,4
"treespace",1,"MIT",1,26,301,301,4
"mltools",0,"MIT",1,4,NA,303.3,1
"ASIP",0,"GPL",1,4,304,304,2
"cld2",1,"Apache",1,3,NA,304.1,2
"dartR",0,"GPL",1,30,301,301,5
"Knoema",0,"MIT",1,9,303,303,3
"MEclustnet",1,"GPL",0,8,NA,303.2,1
"openSTARS",1,"MIT",1,10,303,303,2
"Select",1,"GPL",1,5,303,303,2
"shiny.semantic",0,"MIT",1,5,NA,304.1,1
"blandr",0,"GPL",1,3,304,304,1
"MVisAGe",0,"GPL",1,1,303,303,1
"readtext",0,"GPL",1,16,303,303,6
"ROI.plugin.alabama",0,"GPL",0,4,NA,304.1,1
"writexl",0,"BSD",1,3,NA,304.2,2
"BIEN",1,"MIT",1,10,302,302,1
"tidyquant",0,"MIT",1,23,300,300,2
"coga",0,"GPL",1,7,303,303,3
"DescriptiveStats.OBeu",1,"GPL",1,8,NA,304.2,3
"gdpc",1,"GPL",0,8,303,303,3
"LeArEst",0,"GPL",1,6,NA,304,4
"preference",0,"LGPL",1,5,NA,304.1,3
"CondIndTests",0,"GPL",1,9,301,301,2
"dlib",1,"BSL",1,4,NA,303.3,3
"gWQS",1,"GPL",1,7,NA,303.2,5
"lmvar",1,"GPL",1,7,NA,303.3,1
"nardl",0,"GPL",1,3,NA,304.2,1
"sensors4plumes",0,"GPL",0,12,300,300,1
"imagine",1,"GPL",1,4,302,302,1
"optional",1,"BSL",1,4,NA,304.2,1
"FactoInvestigate",1,"GPL",0,7,NA,304,2
"pbdRPC",0,"MPL",1,4,302,302,2
"rpms",0,"CC0",1,3,210,210,1
"DAC",0,"GPL",0,2,NA,304.2,3
"olsrr",0,"MIT",1,16,302,302,1
"ProjectionBasedClustering",1,"GPL",0,19,NA,304.2,5
"SurvDisc",0,"GPL",0,6,210,210,4
"glm.predict",1,"GPL",0,4,301,301,1
"jsonld",1,"BSD",1,3,NA,303.3,2
"weco",1,"GPL",1,4,303,303,5
"AR",1,"LGPL",0,1,NA,304.1,1
"mrbsizeR",1,"GPL",1,9,300,300,4
"PLMIX",1,"GPL",1,11,NA,303.3,2
"PLmixed",0,"GPL",1,4,302,302,2
"pointblank",0,"MIT",1,19,304,304,1
"RAC",1,"MIT",1,6,301,301,4
"brt",1,"GPL",1,2,302,302,2
"estprod",0,"GPL",1,4,304,304,1
"IMIFA",1,"GPL",1,21,303,303,3
"Jdmbs",1,"GPL",1,7,302,302,1
"nprobust",0,"GPL",0,3,NA,303.3,3
"sbart",0,"MIT",1,5,210,210,1
"BBMV",1,"GPL",0,3,301,301,1
"convexjlr",0,"Apache",1,6,NA,304.1,1
"predtoolsTS",0,"GPL",1,9,NA,304.2,3
"sqlscore",0,"MIT",1,5,303,303,1
"mathpix",0,"GPL",1,6,303,303,1
"mrgsolve",0,"GPL",1,14,301,301,7
"vdiffr",0,"GPL",1,16,302,302,7
"FHDI",1,"GPL",0,0,NA,304.1,3
"SpatialFloor",1,"GPL",1,4,304,304,4
"edpclient",0,"Apache",0,6,NA,304.1,1
"enviGCMS",0,"GPL",1,5,NA,303.3,1
"lavaanPlot",0,"GPL",1,4,NA,304.1,1
"MiRKAT",1,"GPL",0,4,213,213,6
"MittagLeffleR",0,"GPL",1,6,NA,304.1,2
"nowcasting",0,"GPL",1,10,304,304,4
"survivALL",0,"MIT",1,19,303,303,1
"worms",0,"GPL",1,2,NA,304.1,1
"EpiCurve",1,"LGPL",0,4,NA,304,2
"MARX",0,"GPL",1,4,NA,304.1,3
"VarReg",1,"GPL",1,7,210,210,2
"APML0",0,"GPL",1,4,NA,304.2,3
"komadown",0,"GPL",1,5,303,303,1
"leaflet.esri",0,"GPL",1,15,301,301,6
"rpql",0,"GPL",0,6,NA,303.2,2
"leaflet.extras",0,"GPL",1,14,301,301,27
"s2",0,"Apache",1,2,NA,303.3,5
"interflex",1,"GPL",0,11,NA,303.3,2
"utilsIPEA",0,"GPL",1,4,300,300,5
"wiqid",0,"GPL",0,8,NA,303.2,1
"ClusVis",1,"GPL",1,9,301,301,3
"denseFLMM",0,"GPL",1,6,303,303,2
"mschart",0,"MIT",1,13,210,210,2
"esmprep",0,"GPL",1,1,302,302,1
"HiCblock",1,"GPL",0,10,304,304,1
"HiCglmi",1,"GPL",0,10,303,303,1
"stampr",0,"GPL",1,10,210,210,1
"bioOED",0,"GPL",1,11,NA,304,4
"genderBR",1,"GPL",1,3,301,301,1
"uncmbb",0,"CC0",1,1,303,303,1
"brglm2",0,"GPL",1,9,303,303,4
"classiFunc",0,"GPL",1,11,210,210,3
"corehunter",1,"MIT",1,5,302,302,3
"meltt",0,"LGPL",0,8,206,206,1
"sglg",0,"GPL",1,8,301,301,1
"foghorn",0,"MIT",1,15,303,303,2
"yesno",0,"GPL",1,3,303,303,2
"fpp2",1,"GPL",0,4,200,200,1
"gldrm",1,"MIT",1,2,302,302,2
"MultiVarSel",1,"GPL",0,3,300,300,3
"survtmle",1,"MIT",1,12,300,300,2
"tsensembler",0,"GPL",1,13,NA,304.2,3
"bioimagetools",0,"GPL",1,7,300,300,3
"di",1,"GPL",1,3,303,303,1
"snpReady",0,"GPL",1,6,NA,304.2,2
"nmw",0,"GPL",0,0,300,300,1
"swmmr",0,"GPL",1,4,NA,304.2,2
"AnnotationBustR",1,"GPL",1,5,302,302,2
"esvis",0,"MIT",1,2,301,301,1
"SentimentAnalysis",1,"MIT",1,14,210,210,2
"spc4sts",0,"GPL",1,1,NA,304.2,1
"textstem",0,"GPL",1,9,303,303,1
"ggconf",0,"GPL",1,9,303,303,1
"liureg",1,"GPL",0,0,NA,304,2
"ReinforcementLearning",1,"MIT",1,6,302,302,2
"tint",0,"GPL",1,3,NA,303.2,1
"alfred",0,"MIT",1,10,303,303,1
"eply",0,"GPL",1,5,300,300,2
"RWildbook",0,"GPL",1,6,300,300,2
"bsplus",0,"MIT",1,11,303,303,4
"kernplus",0,"GPL",1,5,303,303,2
"bigKRLS",1,"GPL",1,13,303,303,2
"data.world",1,"Apache",1,7,303,303,4
"factorMerger",0,"GPL",1,16,302,302,3
"fbar",0,"GPL",1,15,300,300,1
"ForestTools",0,"GPL",1,12,303,303,1
"APfun",0,"GPL",1,1,NA,303.3,1
"epidata",0,"AGPL",1,10,302,302,1
"toxplot",0,"GPL",1,10,303,303,1
"UncertainInterval",0,"GPL",1,6,300,300,1
"sparseFLMM",0,"GPL",1,7,303,303,1
"cvequality",0,"MIT",1,7,NA,303.3,2
"errorlocate",0,"GPL",1,6,NA,303.3,2
"mstR",1,"GPL",0,0,208,208,3
"normalr",0,"GPL",1,7,303,303,2
"bindrcpp",0,"MIT",1,5,NA,303.3,2
"geofacet",0,"MIT",1,9,303,303,2
"phantom",0,"GPL",1,9,300,300,5
"SeqKat",0,"GPL",1,8,215,215,4
"encode",0,"GPL",1,0,NA,303.3,1
"productivity",0,"GPL",0,5,300,300,3
"SubTite",1,"GPL",1,3,NA,304.2,1
"bairt",0,"GPL",1,6,301,301,2
"dfped",1,"GPL",1,7,300,300,3
"ssc",1,"GPL",1,4,204,204,6
"quotedargs",0,"GPL",0,0,NA,304.1,1
"blob",1,"GPL",1,3,NA,303.3,3
"interp",1,"GPL",0,6,NA,304.1,3
"orthoDr",0,"GPL",1,7,NA,304.2,2
"windfarmGA",1,"MIT",1,21,302,302,1
"DMRnet",0,"GPL",1,5,NA,304.2,2
"sfdct",0,"CC BY",1,12,303,303,1
"DPWeibull",1,"GPL",1,5,NA,304.1,2
"GPGame",1,"GPL",1,11,NA,304.1,2
"SetTest",0,"GPL",1,0,NA,303.3,1
"AdapSamp",1,"GPL",1,3,NA,304.2,1
"horserule",0,"GPL",1,10,NA,304,2
"incR",0,"GPL",1,10,304,304,1
"RNRCS",0,"GPL",1,3,303,303,3
"descriptr",0,"MIT",1,7,302,302,1
"eventdataR",0,"MIT",1,2,300,300,1
"rarhsmm",1,"GPL",1,1,300,300,2
"gamRR",0,"GPL",0,1,NA,304.1,3
"metScanR",0,"GPL",1,6,303,303,6
"RNAsmc",0,"GPL",0,3,NA,304.2,1
"g2f",0,"GPL",1,3,NA,303.2,4
"QuantTools",0,"GPL",1,6,210,210,1
"Rgb",1,"GPL",0,7,300,300,1
"datetime",0,"GPL",0,2,NA,304.1,1
"splithalf",0,"GPL",1,7,303,303,1
"survidm",0,"GPL",1,7,300,300,1
"wpp2017",1,"GPL",0,0,214,214,1
"EthSEQ",1,"GPL",1,10,215,215,1
"metaviz",0,"GPL",1,7,210,210,3
"MonteCarlo",1,"GPL",1,10,300,300,1
"rdlocrand",0,"GPL",1,2,301,301,3
"adaptiveGPCA",0,"AGPL",1,6,301,301,1
"gfmR",1,"GPL",0,5,301,301,1
"patentsview",0,"MIT",1,6,301,301,1
"assignPOP",1,"GPL",1,15,203,203,6
"bindr",0,"MIT",1,1,NA,303.3,2
"pacotest",0,"MIT",0,10,NA,303.3,1
"xtractomatic",1,"CC0",1,14,303,303,3
"aniDom",0,"GPL",0,1,NA,303.3,1
"gfer",0,"GPL",1,6,NA,303.3,1
"widyr",0,"MIT",1,22,NA,304.2,2
"datetimeutils",0,"GPL",0,0,NA,304.2,1
"Rcriticor",1,"GPL",0,0,302,302,1
"rmonad",0,"GPL",1,6,302,302,1
"sim1000G",1,"GPL",1,9,215,215,4
"cronR",0,"MIT",1,6,NA,303.3,3
"EpiILM",1,"GPL",0,4,302,302,1
"wgeesel",1,"GPL",0,5,300,300,3
"lime",0,"MIT",1,23,NA,304.2,2
"anomalyDetection",0,"GPL",1,17,210,210,4
"ACMEeqtl",1,"LGPL",0,6,303,303,2
"KraljicMatrix",0,"MIT",1,6,210,210,4
"origami",0,"GPL",1,12,300,300,3
"robets",1,"GPL",1,3,301,301,5
"slickR",0,"GPL",1,7,203,203,1
"adeba",1,"GPL",1,7,NA,304.2,2
"hansard",0,"MIT",1,6,NA,303.3,1
"RcmdrPlugin.aRnova",0,"GPL",1,2,302,302,2
"tmcn",0,"LGPL",1,3,300,300,1
"OpenML",1,"BSD",1,23,300,300,8
"rpostgisLT",0,"GPL",1,8,303,303,4
"ashr",1,"GPL",1,14,301,301,9
"DoE.MIParray",0,"GPL",0,7,NA,304.3,1
"fauxpas",0,"MIT",1,8,NA,303.3,1
"GetITRData",0,"GPL",1,14,303,303,1
"ldhmm",0,"Artistic-2.0",1,15,303,303,1
"idmTPreg",1,"GPL",0,6,304,304,1
"projector",0,"MIT",1,14,301,301,1
"worldmet",0,"GPL",1,7,302,302,1
"zenplots",0,"GPL",0,20,300,300,2
"fuzzywuzzyR",1,"GPL",1,6,302,302,1
"photobiologyLamps",0,"GPL",1,5,302,302,2
"rospca",1,"GPL",0,11,213,213,5
"nzpullover",0,"CC0",1,0,302,302,1
"Rcssplot",0,"GPL",1,5,301,301,1
"rpgm",0,"GPL",0,0,NA,303.3,1
"stoRy",0,"GPL",1,2,301,301,2
"bea.R",1,"CC0",1,23,302,302,3
"CPBayes",0,"GPL",1,5,302,302,3
"multfisher",1,"GPL",1,1,300,300,1
"BEACH",1,"GPL",0,11,301,301,5
"lassopv",0,"GPL",0,2,210,210,1
"suncalc",0,"GPL",1,1,NA,304.1,2
"VeryLargeIntegers",0,"GPL",1,2,NA,304.2,1
"CircMLE",0,"GPL",1,2,302,302,2
"sNPLS",0,"GPL",1,6,NA,303.2,1
"confSAM",0,"GPL",0,3,NA,303.3,1
"ratios",1,"GPL",1,2,210,210,2
"ggmuller",0,"MIT",1,6,302,302,1
"PakPC2017",0,"GPL",1,4,301,301,2
"Brundle",1,"CC BY",1,7,NA,304.2,1
"clust.bin.pair",0,"MIT",1,1,302,302,1
"ratesci",0,"GPL",1,1,302,302,1
"EMMIXcskew",0,"GPL",0,7,NA,303.3,2
"inferr",0,"MIT",1,11,302,302,1
"mopa",1,"GPL",1,19,304,304,3
"Rilostat",0,"BSD",1,24,303,303,3
"revdbayes",1,"GPL",1,10,303,303,1
"swCRTdesign",1,"GPL",0,0,NA,303.3,1
"tatoo",1,"MIT",1,12,NA,304.1,1
"fivethirtyeight",0,"MIT",1,10,302,302,13
"tidygraph",1,"GPL",1,19,NA,304.2,1
"npcopTest",1,"GPL",0,0,NA,303.3,1
"vote",1,"GPL",0,2,NA,303.3,3
"adepro",0,"GPL",1,10,NA,304.2,4
"OutliersO3",0,"GPL",1,18,304,304,1
"PTXQC",0,"GPL",1,20,300,300,1
"valuer",1,"GPL",1,12,302,302,1
"MBC",0,"GPL",0,2,210,210,1
"multiApply",0,"LGPL",1,5,302,302,4
"quantoptr",0,"GPL",1,8,302,302,4
"survivalsvm",0,"GPL",1,7,NA,304.1,1
"aVirtualTwins",1,"GPL",1,8,302,302,2
"gk",0,"GPL",1,2,NA,303.3,1
"pcev",1,"GPL",0,3,300,300,4
"ICSOutlier",0,"GPL",0,7,300,300,3
"pipeGS",0,"GPL",1,1,NA,303.3,1
"SpaDES.addins",0,"GPL",1,10,303,303,3
"cifti",0,"GPL",1,6,NA,304.1,1
"gifti",0,"GPL",1,7,NA,304.1,1
"modmarg",0,"GPL",1,3,210,210,3
"opticut",0,"GPL",0,7,301,301,2
"denoiSeq",0,"GPL",1,6,NA,304.2,2
"nlsr",0,"GPL",0,11,300,300,2
"OOR",0,"LGPL",1,1,NA,303.3,5
"BeSS",1,"GPL",0,6,200,200,4
"ggQC",0,"GPL",1,8,210,210,1
"RBMRB",1,"GPL",1,6,303,303,1
"robustBLME",0,"GPL",1,13,300,300,3
"spatstat.local",1,"GPL",0,5,303,303,1
"tibbletime",0,"MIT",1,10,303,303,2
"atsd",1,"Apache",0,5,301,301,1
"ludic",0,"MIT",1,6,NA,303.3,2
"phylotate",1,"MIT",0,1,300,300,2
"tRophicPosition",0,"GPL",1,14,304,304,3
"waver",0,"GPL",1,6,302,302,2
"clustRcompaR",0,"GPL",1,7,301,301,2
"libsoc",0,"LGPL",0,1,214,214,1
"zeallot",0,"MIT",1,4,NA,303.3,2
"ANOVAreplication",1,"GPL",0,4,NA,304.1,1
"bigtcr",1,"GPL",1,0,303,303,3
"kokudosuuchi",0,"MIT",1,8,210,210,1
"languagelayeR",1,"GPL",1,3,NA,303.3,1
"censusr",0,"MIT",1,3,NA,303.3,2
"diagis",0,"GPL",1,8,NA,303.2,1
"finch",0,"MIT",1,10,NA,303.3,1
"gradDescent",1,"GPL",1,0,NA,303.3,6
"heims",0,"GPL",1,9,303,303,1
"datapasta",1,"MIT",1,7,303,303,3
"highlightHTML",0,"MIT",1,5,300,300,1
"TCIApathfinder",1,"MIT",1,3,303,303,1
"BibPlots",0,"EUPL",0,0,301,301,1
"Xplortext",1,"GPL",1,9,304,304,3
"gLRTH",0,"GPL",1,2,303,303,2
"OmicsPLS",1,"GPL",1,6,NA,304.1,4
"pals",1,"GPL",1,13,210,210,1
"CreditRisk",0,"MIT",1,3,NA,304.2,1
"LinkageMapView",1,"GPL",1,6,NA,303.3,1
"nofrills",0,"MIT",1,2,301,301,1
"rMR",1,"GPL",1,1,210,210,1
"tropAlgebra",0,"GPL",1,0,303,303,4
"dat",0,"MIT",1,14,NA,303.3,1
"equSA",1,"GPL",1,5,300,300,4
"abjutils",0,"MIT",1,7,303,303,5
"lbreg",1,"GPL",0,1,302,302,1
"PSW",1,"GPL",1,4,303,303,2
"RNAseqNet",0,"GPL",1,5,301,301,2
"rrpack",0,"GPL",1,7,303,303,3
"canprot",0,"GPL",0,5,301,301,1
"dtree",0,"GPL",1,14,NA,304,1
"SMMA",1,"GPL",1,3,NA,304,1
"mau",0,"LGPL",1,6,300,300,7
"optimus",0,"GPL",1,7,301,301,1
"ROI.plugin.lpsolve",0,"GPL",0,5,NA,303.3,1
"splashr",0,"AGPL",1,23,302,302,1
"easySdcTable",0,"Apache",1,2,300,300,1
"COMBAT",0,"GPL",0,3,302,302,3
"cordillera",0,"GPL",1,5,301,301,3
"photobiologyLEDs",0,"GPL",1,5,302,302,2
"Emcdf",0,"GPL",1,4,302,302,2
"preText",0,"GPL",1,14,303,303,3
"PRIMME",1,"GPL",1,4,NA,304,3
"rSQM",1,"GPL",1,14,303,303,3
"tsdf",1,"GPL",1,3,NA,304.2,2
"brant",0,"GPL",0,1,301,301,2
"IATScore",0,"MIT",1,0,NA,304.1,1
"influxdbr",0,"GPL",1,10,NA,304.2,1
"MultiRNG",1,"GPL",0,0,NA,304.1,2
"RandPro",0,"GPL",1,1,NA,303.3,2
"rFSA",0,"GPL",1,2,215,215,4
"UnivRNG",1,"GPL",1,0,NA,304.1,2
"elevatr",0,"CC0",1,12,300,300,2
"Rbgs",0,"GPL",1,7,302,302,2
"RGBM",1,"GPL",0,3,NA,303.3,3
"univOutl",0,"GPL",0,2,NA,304.1,1
"constants",0,"MIT",1,3,300,300,1
"csv",0,"GPL",1,0,NA,303.3,1
"dynsbm",0,"GPL",0,8,NA,303.3,2
"sgee",0,"GPL",1,3,300,300,3
"grove",1,"GPL",0,5,NA,303.3,1
"fmbasics",0,"GPL",1,7,NA,303.3,1
"MatManlyMix",0,"GPL",0,0,300,300,5
"fastrtext",0,"MIT",1,6,NA,304.2,3
"fmdates",0,"GPL",1,9,NA,303.3,1
"ipft",0,"GPL",1,8,210,210,2
"SparseDC",0,"GPL",1,3,301,301,2
"tidystringdist",0,"MIT",1,6,NA,304.3,2
"Biolinv",0,"GPL",1,7,302,302,2
"miRNAss",1,"Apache",1,6,NA,304.1,1
"naivebayes",0,"GPL",0,0,NA,303.3,1
"sofa",0,"MIT",1,9,NA,303.2,1
"bhm",1,"GPL",0,3,NA,303.2,1
"rxylib",0,"GPL",1,7,303,303,5
"widgetframe",0,"MIT",1,8,301,301,4
"msde",1,"GPL",1,10,300,300,3
"mudfold",1,"GPL",0,6,303,303,4
"AmesHousing",0,"GPL",1,2,210,210,2
"PKPDmisc",1,"MIT",1,18,302,302,1
"stringformattr",0,"MIT",1,1,NA,303.3,1
"SyncRNG",1,"GPL",1,2,300,300,1
"zonator",0,"FreeBSD",1,11,215,215,1
"cleanEHR",0,"GPL",1,12,301,301,7
"gofastr",0,"GPL",1,7,302,302,1
"BisRNA",0,"GPL",0,7,303,303,1
"clustEff",0,"GPL",1,3,NA,304.2,2
"GMAC",1,"GPL",0,2,NA,304,2
"elo",0,"GPL",1,5,303,303,1
"libcoin",0,"GPL",0,3,303,303,1
"corpus",0,"Apache",0,1,NA,304,7
"inum",0,"GPL",0,1,303,303,1
