"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"ahnr","ahnr","An Implementation of the Artificial Hydrocarbon Networks","0.1.0","GPL-3 | file LICENSE","6.0.1",9,">= 3.3.0"
"asciiSetupReader","asciiSetupReader","Reads 'SPSS' and 'SAS' Files from ASCII Data Files (.txt) and","1.0","GPL","6.0.1",5,">= 2.10"
"bayeslm","bayeslm","Efficient Sampling for Gaussian Linear Regression with Arbitrary","0.1.0","LGPL (>= 2)",NA,3,">= 2.10"
"CircularDDM","CircularDDM","Circular Drift-Diffusion Model","0.0.7","GPL-2","6.0.1",3,">= 3.0.2"
"MetaComp","MetaComp","EDGE Taxonomy Assignments Visualization","1.0.1","GPL-2","6.0.1",7,">= 3.1.0"
"fuser","fuser","Fused Lasso for High-Dimensional Regression over Groups","1.0.0","GPL-3","6.0.1",11,">= 3.2.0"
"walrus","walrus","Robust Statistical Methods","1.0.0","GPL-3","6.0.1",5,NA
"AdhereR","AdhereR","Adherence to Medications","0.1.0","GPL (>= 2)","6.0.1",7,">= 3.0"
"bsamGP","bsamGP","Bayesian Spectral Analysis Models using Gaussian Process Priors","1.0.1","GPL (>= 2)","6.0.1",3,NA
"loder","loder","Dependency-Free Access to PNG Image Files","0.1.0","BSD_3_clause + file LICENCE","6.0.1",1,NA
"MultisiteMediation","MultisiteMediation","Causal Mediation Analysis in Multisite Trials","0.0.1","GPL-2","6.0.1",3,">= 3.1.0"
"prophet","prophet","Automatic Forecasting Procedure","0.1.1","BSD_3_clause + file LICENSE","5.0.1",14,">= 3.2.3"
"jpndistrict","jpndistrict","Create Japanese Administration Area and Office Maps","0.1.0","MIT + file LICENSE","5.0.1",24,">= 3.1.0"
"lingtypology","lingtypology","Linguistic Typology and Mapping","1.0.0","GPL (>= 2)","5.0.1",10,">= 2.10"
"tuckerR.mmgg","tuckerR.mmgg","Three-Mode Principal Components Analysis","1.5.0","GPL-3","5.0.1",2,">= 3.3.0"
"ROpenDota","ROpenDota","Access OpenDota Services in R","0.1.0","MIT + file LICENSE","6.0.1",2,">= 3.2.0"
"beginr","beginr","Functions for R Beginners","0.0.1","GPL","6.0.1",0,">= 3.1.0"
"diceR","diceR","Diverse Cluster Ensemble in R","0.1.0","MIT + file LICENSE","6.0.1.9000",35,">= 3.2.0"
"jwutil","jwutil","Tools for Data Manipulation and Testing","1.1.1","GPL-3","5.0.1",9,">= 3.0.0"
"leaflet.minicharts","leaflet.minicharts","Minicharts for Interactive Maps","0.1.0","GPL (>= 2) | file LICENSE","6.0.1",5,">= 2.10"
"manipulateWidget","manipulateWidget","Add Even More Interactivity to Interactive Charts","0.4.0","GPL (>= 2) | file LICENSE","5.0.1",10,NA
"ompr","ompr","Model and Solve Mixed Integer Linear Programs","0.6.0","GPL-3 | file LICENSE","6.0.1",6,">= 3.2.0"
"ompr.roi","ompr.roi","A Solver for 'ompr' that Uses the R Optimization Infrastructure","0.6.0","GPL-3","6.0.1",5,">= 3.2.0"
"rclimateca","rclimateca","Fetch Climate Data from Environment Canada","0.1","GPL-3","5.0.1",6,">= 2.10"
"StatCharrms","StatCharrms","Statistical Analysis of Chemistry, Histopathology, and","0.90.1","CC0","5.0.1",14,">= 3.1.0"
"teachingApps","teachingApps","Apps for Teaching Statistics, R Programming, and Shiny App","1.0.1","GPL (>= 2)","6.0.1",36,">= 3.1.0"
"odbc","odbc","Connect to ODBC Compatible Databases (using the DBI Interface)","1.0.0","MIT + file LICENSE","5.0.1.9000",10,NA
"bivrp","bivrp","Bivariate Residual Plots with Simulation Polygons","1.0","GPL (>= 2)",NA,5,">= 3.0.0"
"briskaR","briskaR","Biological Risk Assessment","0.1.0","GPL (>= 2) | file LICENSE","5.0.1",16,">=
        3.0.0"
"ConR","ConR","Computation of Parameters Used in Preliminary Assessment of","1.0","GPL-2",NA,13,">= 3.3"
"fst","fst","Lightning Fast Serialization of Data Frames for R","0.7.2","BSD_2_clause + file LICENSE","5.0.1",4,">= 3.0.0"
"LAM","LAM","Some Latent Variable Models","0.0-17","GPL (>= 2)",NA,12,">= 3.1"
"mixR","mixR","Finite Mixture Modeling for Raw and Binned Data","0.1.0","GPL (>= 2)","6.0.1",5,NA
"RegularizedSCA","RegularizedSCA","Regularized Simultaneous Component Based Data Integration","0.4.2","GPL (>= 2)","6.0.1",10,">= 2.10"
"textshape","textshape","Tools for Reshaping Text","0.2.0","GPL-2","5.0.1",5,">= 3.2.2"
"tigreBrowserWriter","tigreBrowserWriter","'tigreBrowser' Database Writer","0.1.2","AGPL-3","5.0.1",2,">= 2.14.0"
"wikilake","wikilake","Scrape Lakes Metadata Tables from Wikipedia","0.1","GPL (>= 2)","5.0.1",11,">= 3.3.2"
"SPAtest","SPAtest","Score Test Based on Saddlepoint Approximation","1.0.0","GPL (>= 2)",NA,0,">= 3.0.0"
"alterryx","alterryx","An 'API' Client for the 'Alteryx' Gallery","0.2.0","GPL-2","6.0.1",7,NA
"networktools","networktools","Assorted Tools for Identifying Important Nodes in Networks","1.0.0","GPL-3","6.0.1",14,">= 3.0.0"
"powerCompRisk","powerCompRisk","Power Analysis Tool for Joint Testing Hazards with Competing","0.1.0","GPL-2","6.0.1",2,">= 3.1.0"
"Tcomp","Tcomp","Data from the 2010 Tourism Forecasting Competition","1.0.0","GPL-3","5.0.1",7,">= 3.1.2"
"pkr","pkr","Pharmacokinetics in R","0.1.0","GPL-3",NA,3,">= 2.0.0"
"qrcmNP","qrcmNP","Nonlinear and Penalized Quantile Regression Coefficients","0.1.0","GPL-2","6.0.1",6,NA
"rwc","rwc","Random Walk Covariance Models","1.0","GPL-2",NA,4,">= 2.10"
"tangram","tangram","The Grammar of Tables","0.2.6","GPL-2","6.0.1",10,">= 3.2.3"
"excerptr","excerptr","Excerpt Structuring Comments from Your Code File and Set a Table","1.0.0","BSD_2_clause + file LICENSE","6.0.1",7,">= 3.3.2"
"LocalControl","LocalControl","An R Package for Generating High Quality","1.0.0","Apache License 2.0","6.0.1",7,">= 2.10"
"shinymaterial","shinymaterial","Implement Material Design in Shiny Applications","0.1.0","GPL-3 | file LICENSE","6.0.1",1,NA
"hmi","hmi","Hierarchical Multiple Imputation","0.6.3","GPL-3","6.0.1",18,">= 3.0.0"
"PSTR","PSTR","Panel Smooth Transition Regression Modelling","1.0.1","GPL-3","6.0.1",4,">= 3.0.0"
"sitreeE","sitreeE","Sitree Extensions","0.0-1","GPL (>= 2)",NA,1,">= 3.1.0"
"welchADF","welchADF","Welch-James Statistic for Robust Hypothesis Testing under","0.1","LGPL (>= 3)","6.0.1",0,NA
"metaforest","metaforest","Exploring Heterogeneity in Meta-Analysis using Random Forests","0.1.0","GPL-3","6.0.1",5,">= 3.4.1"
"redux","redux","R Bindings to 'hiredis'","1.0.0","GPL-2","6.0.1",5,">= 3.2.0"
"graphkernels","graphkernels","Graph Kernels","1.0","GPL (>= 2)",NA,4,NA
"purrrlyr","purrrlyr","Tools at the Intersection of 'purrr' and 'dplyr'","0.0.1","GPL-3 | file LICENSE","6.0.1",9,NA
"ramcmc","ramcmc","Robust Adaptive Metropolis Algorithm","0.1.0","GPL (>= 2)","5.0.1",5,NA
"RatingScaleReduction","RatingScaleReduction","Rating Scale Reduction Procedure","1.0","GPL-2",NA,2,NA
"RchivalTag","RchivalTag","Analyzing Archival Tagging Data","0.0.1","CC BY-NC-SA 4.0",NA,15,">= 3.0.1"
"rdwd","rdwd","Select and Download Climate Data from 'DWD' (German Weather","0.6.1","GPL (>= 2)","5.0.1",8,">= 2.10"
"StructFDR","StructFDR","False Discovery Control Procedure Integrating the Prior","1.0","GPL-2",NA,4,">= 3.1.0"
"DClusterm","DClusterm","Model-Based Detection of Disease Clusters","0.1","GPL-3","6.0.0",12,">= 2.10"
"joineRML","joineRML","Joint Modelling of Multivariate Longitudinal Data and","0.1.0","GPL-2 | file LICENSE","5.0.1",14,">= 3.1"
"qgam","qgam","Smooth Additive Quantile Regression Models","1.1.1","GPL (>= 2)","6.0.1",9,NA
"RHMS","RHMS","Hydrologic Modelling System for R Users","1.0","GPL-2",NA,4,">= 3.0.0"
"MetaLonDA","MetaLonDA","Metagenomics Longitudinal Differential Abundant Method","1.0.4","GPL-2","6.0.1",8,">= 3.1.2"
"aws.s3","aws.s3","AWS S3 Client Package","0.3.1","GPL (>= 2)","6.0.1",9,NA
"clampSeg","clampSeg","Idealisation of Patch Clamp Recordings","1.0-1","GPL-3",NA,6,">= 3.0.0"
"DisHet","DisHet","Estimate the Gene Expression Levels and Component Proportions of","0.1.0","GPL-2",NA,2,">= 2.15.0"
"edgarWebR","edgarWebR","SEC Filings Access","0.1.0","MIT + file LICENSE","6.0.1",10,">= 3.3.2"
"PeakSegOptimal","PeakSegOptimal","Optimal Segmentation Subject to Up-Down Constraints","2017.06.20","GPL-3",NA,5,">= 2.10"
"BiDAG","BiDAG","Software","1.0.0","GPL (>= 2)","6.0.1",6,NA
"DPP","DPP","Inference of Parameters of Normal Distributions from a Mixture","0.1.0","MIT + file LICENSE","6.0.1",4,NA
"lvec","lvec","Out of Memory Vectors","0.1.0","GPL-3","6.0.1",3,">= 3.0.0"
"neurohcp","neurohcp","Human Connectome Project Interface","0.6","GPL-2","6.0.1",8,NA
"bssm","bssm","Bayesian Inference of State Space Models","0.1.0","GPL (>= 2)","6.0.1",13,">= 3.1.3"
"frailtyEM","frailtyEM","Fitting Frailty Models with the EM Algorithm","0.5.2","GPL (>= 2)","6.0.1",13,NA
"ukbtools","ukbtools","Manipulate and Explore UK Biobank Data","0.9.0","GPL-2","6.0.1",9,">= 2.10"
"unsystation","unsystation","Stationarity Test Based on Unsystematic Sub-Sampling","0.1.0","GPL-2","5.0.1",8,NA
"ALA4R","ALA4R","Atlas of Living Australia (ALA) Data and Resources in R","1.5.3","MPL-2.0","5.0.1",23,NA
"genotypeR","genotypeR","SNP Genotype Marker Design and Analysis","0.0.1.6","GPL (>= 3)","6.0.1",10,">= 3.3.2"
"ICtest","ICtest","Estimating and Testing the Number of Interesting Components in","0.2","GPL (>= 2)",NA,14,NA
"margins","margins","Marginal Effects for Model Objects","0.3.0","MIT + file LICENSE","6.0.1",11,NA
"microPop","microPop","Modelling Microbial Populations","1.0","GPL-3 | file LICENSE","5.0.1",1,"*"
"philentropy","philentropy","Similarity and Distance Quantification Between Probability","0.0.1","GPL-2","6.0.1",6,">= 3.1.2"
"prediction","prediction","Tidy, Type-Safe 'prediction()' Methods","0.1.1","MIT + file LICENSE","5.0.1",6,NA
"quadprogXT","quadprogXT","Quadratic Programming with Absolute Value Constraints","0.0.1","GPL (>= 2)","6.0.1",2,">= 3.3.2"
"regnet","regnet","Network-Based Regularization for Generalized Linear Models","0.1.0","GPL-2","6.0.1",2,">= 3.1.0"
"templates","templates","A System for Working with Templates","0.1.0","MIT + file LICENSE","5.0.1",9,">= 3.3.1"
"ziphsmm","ziphsmm","Zero-Inflated Poisson Hidden (Semi-)Markov Models","1.0.0","GPL","5.0.1",3,">= 3.1.0"
"AIG","AIG","Automatic Item Generator","0.1.0","GPL-3","5.0.1",3,NA
"easycsv","easycsv","Load Multiple 'csv' and 'txt' Tables","1.0.1","GPL-2","6.0.1",0,">= 3.2.3"
"kableExtra","kableExtra","Construct Complex Table with 'Kable' and Pipe Syntax","0.1.0","MIT + file LICENSE","6.0.1",7,">= 3.1.2"
"tabularaster","tabularaster","Tidy Tools for 'Raster' Data","0.3.0","GPL-3","6.0.1",14,">= 3.2.5"
"MAVE","MAVE","Methods for Dimension Reduction","0.1.6","GPL (>= 2)","5.0.1",4,NA
"HURDAT","HURDAT","Hurricane Re-Analysis Project","0.1.0","MIT + file LICENSE","6.0.1",12,">= 3.4.0"
"kutils","kutils","Project Management Tools","0.91","GPL-2","5.0.1",8,">= 2.10"
"StepSignalMargiLike","StepSignalMargiLike","Step-Wise Signal Extraction via Marginal Likelihood","2.5.9","GPL (>= 2)",NA,2,NA
"CrossValidate","CrossValidate","Classes and Methods for Cross Validation of ""Class Prediction""","2.3.0","Apache License (== 2.0)",NA,4,">= 3.0"
"GAparsimony","GAparsimony","Searching Parsimony Models with Genetic Algorithms","0.9-1","GPL (>= 2)",NA,18,">= 3.0"
"ggjoy","ggjoy","Joyplots in 'ggplot2'","0.1","GPL-2 | file LICENSE","6.0.1",6,">= 3.3.0"
"Modeler","Modeler","Classes and Methods for Training and Using Binary Prediction","3.4.2","Apache License (== 2.0)",NA,13,">= 2.10"
"randgeo","randgeo","Generate Random 'WKT' or 'GeoJSON'","0.1.0","MIT + file LICENSE","6.0.1",5,NA
"rdist","rdist","Calculate Pairwise Distances","0.0.1","GPL","6.0.1",4,">= 3.2.2"
"rsurface","rsurface","Design of Rotatable Central Composite Experiments and Response","1.0.2","MIT + file LICENSE","6.0.1",4,">= 3.4.1"
"SIBERG","SIBERG","Systematic Identification of Bimodally Expressed Genes Using","2.0.0","Apache License (== 2.0)",NA,3,NA
"simsurv","simsurv","Simulate Survival Data","0.1.0","GPL (>= 3) | file LICENSE","6.0.1",6,">= 3.3.2"
"Umpire","Umpire","Simulating Realistic Gene Expression Data","1.3.4","Apache License (== 2.0)",NA,4,">= 3.0"
"ClassComparison","ClassComparison","Classes and Methods for ""Class Comparison"" Problems on","3.1.5","Apache License (== 2.0)",NA,6,">= 3.0"
"datadogr","datadogr","R Client for 'Datadog' API","0.1.0","MIT + file LICENSE","6.0.1.9000",11,NA
"diffusr","diffusr","Network Diffusion Algorithms","0.1.0","GPL (>= 3)","5.0.1",8,NA
"implyr","implyr","R Interface for Apache Impala","0.1.0","Apache License 2.0 | file LICENSE","6.0.1",8,">= 3.1.2"
"oompaBase","oompaBase","Class Unions, Matrix Operations, and Color Schemes for OOMPA","3.2.4","Apache License (== 2.0)",NA,5,">= 3.0"
"Polychrome","Polychrome","Qualitative Palettes with Many Colors","0.8.2","Apache License (== 2.0)",NA,10,">= 3.0"
"PreProcess","PreProcess","Basic Functions for Pre-Processing Microarrays","3.1.4","Apache License (== 2.0)",NA,4,">= 3.0"
"TailRank","TailRank","The Tail-Rank Statistic","3.1.3","Apache License (== 2.0)",NA,7,">= 3.0"
"tukeytrend","tukeytrend","Tukeys Trend Test via Multiple Marginal Models","0.4","GPL-2",NA,19,NA
"ChoR","ChoR","Chordalysis R Package","0.0-1","GPL-3","5.0.1",4,NA
"datasus","datasus","An Interface to DATASUS System","0.1.0","GPL-3","6.0.1",11,NA
"rust","rust","Ratio-of-Uniforms Simulation with Transformation","1.0.0","GPL (>= 2)","5.0.1",8,NA
"HTSSIP","HTSSIP","High Throughput Sequencing of Stable Isotope Probing Data","1.0.3","GPL-2 | file LICENSE","5.0.1",14,">= 3.1.2"
"missRanger","missRanger","Fast Imputation of Missing Values","1.0.0","GPL (>= 2)","6.0.1",3,">= 3.3.2"
"PBNPA","PBNPA","Permutation Based Non-Parametric Analysis of CRISPR Screen Data","0.0.1","GPL (>= 2)","5.0.1",1,">= 2.15.0"
"vortexR","vortexR","Post Vortex Simulation Analysis","1.0.3","GPL-3","6.0.1",17,">= 3.1.0"
"base64url","base64url","Fast and URL-Safe Base64 Encoder and Decoder","1.0","Apache License 2.0","5.0.1",8,NA
"ffstream","ffstream","Forgetting Factor Methods for Change Detection in Streaming Data","0.1.2","GPL-2 | GPL-3","5.0.1",6,">= 3.3.0"
"MTA","MTA","Multiscalar Territorial Analysis","0.1.0","GPL-3","6.0.1",10,">= 3.0"
"rbi","rbi","R Interface to LibBi","0.4.1","GPL-3","5.0.1",4,NA
"treespace","treespace","Statistical Exploration of Landscapes of Phylogenetic Trees","1.0.0","MIT + file LICENSE","6.0.1",26,">= 3.1.2"
"mltools","mltools","Machine Learning Tools","0.1.0","MIT + file LICENSE","5.0.1",4,NA
"ASIP","ASIP","Automated Satellite Image Processing","0.3.1","GPL-3","6.0.1",4,">= 3.4.1"
"cld2","cld2","Google's Compact Language Detector 2","1.0","Apache License 2.0","6.0.1",3,NA
"dartR","dartR","Importing and Analysing Snp and Silicodart Data Generated by","0.79","GPL-2","5.0.1",30,">= 3.1.1"
"Knoema","Knoema","Interface to the Knoema API","0.1.7","MIT + file LICENSE","6.0.1",9,">= 3.3.0"
"MEclustnet","MEclustnet","Fits the Mixture of Experts Latent Position Cluster Model to","1.0","GPL-2",NA,8,NA
"openSTARS","openSTARS","An Open Source Implementation of the 'ArcGIS' Toolbox 'STARS'","1.0.0","MIT + file LICENSE","6.0.1",10,">= 3.3.1"
"Select","Select","Estimates Species Abundances Based on Functional Traits","1.0","GPL (>= 2)","5.0.1",5,">= 3.3.2"
"shiny.semantic","shiny.semantic","Semantic UI Support for Shiny","0.1.1","MIT + file LICENSE","6.0.1",5,NA
"blandr","blandr","Bland-Altman Method Comparison","0.4.3","GPL-3","6.0.1",3,">= 3.4.0"
"MVisAGe","MVisAGe","Compute and Visualize Bivariate Associations","0.1.0","GPL-3","6.0.1",1,">= 3.3.1"
"readtext","readtext","Import and Handling for Plain and Formatted Text Files","0.50","GPL-3","6.0.1",16,">= 3.3.1"
"ROI.plugin.alabama","ROI.plugin.alabama","'alabama' Plugin for the 'R' Optimization Infrastructure","0.2-5","GPL-3",NA,4,NA
"writexl","writexl","Export Data Frames to 'xlsx' Format","0.1","BSD_2_clause + file LICENSE","6.0.1",3,NA
"BIEN","BIEN","Tools for Accessing the Botanical Ecology and Information","1.0.0","MIT + file LICENSE","5.0.1",10,">= 3.2.1"
"tidyquant","tidyquant","Tidy Quantitative Financial Analysis","0.1.0","MIT + file LICENSE","5.0.1",23,">= 3.0"
"coga","coga","Convolution of Gamma Distributions","0.1.0","GPL (>= 3.0)","6.0.1",7,">= 3.3.1"
"DescriptiveStats.OBeu","DescriptiveStats.OBeu","Descriptive Statistics OpenBudgets.eu","1.2.0","GPL-2 | file LICENSE","6.0.1",8,NA
"gdpc","gdpc","Generalized Dynamic Principal Components","1.0.0","GPL (>= 2)",NA,8,">= 3.3.1"
"LeArEst","LeArEst","Border and Area Estimation of Data Measured with Additive Error","0.1.4","GPL-2","6.0.1",6,NA
"preference","preference","2-Stage Clinical Trial Design and Analysis","0.1.0","LGPL-2","6.0.1",5,NA
"CondIndTests","CondIndTests","Nonlinear Conditional Independence Tests","0.1.1","GPL","6.0.1",9,">= 3.1.0"
"dlib","dlib","Allow Access to the 'Dlib' C++ Library","1.0","BSL-1.0","6.0.1",4,NA
"gWQS","gWQS","Generalized Weighted Quantile Sum Regression","1.0.0","GPL (>= 2)","5.0.1",7,NA
"lmvar","lmvar","Linear Regression with Non-Constant Variances","1.0.0","GPL-3","6.0.1",7,"*"
"nardl","nardl","Nonlinear Cointegrating Autoregressive Distributed Lag Model","0.1.0","GPL-3","5.0.1",3,NA
"sensors4plumes","sensors4plumes","Test and Optimise Sampling Designs Based on Plume Simulations","0.9","GPL-3",NA,12,">= 3.0.0"
"imagine","imagine","Imaging Engine, Tools for Application of Image Filters to Data","1.1.0","GPL (>= 2)","5.0.1",4,">= 3.2.0"
"optional","optional","Optional Types and Pattern Matching","1.0","Boost Software License 1.0","5.0.1",4,NA
"FactoInvestigate","FactoInvestigate","Automatic Description of Factorial Analysis","1.0","GPL (>= 2)",NA,7,NA
"pbdRPC","pbdRPC","Programming with Big Data -- Remote Procedure Call","0.1-1","Mozilla Public License 2.0","5.0.1",4,">= 3.2.0"
"rpms","rpms","Recursive Partitioning for Modeling Survey Data","0.1.0","CC0","5.0.1",3,">= 2.10"
"DAC","DAC","Calculating Data Agreement Criterion Scores to Rank Experts","0.1.0","GPL-3",NA,2,NA
"olsrr","olsrr","Tools for Teaching and Learning OLS Regression","0.1.0","MIT + file LICENSE","5.0.1",16,">= 3.2.4"
"ProjectionBasedClustering","ProjectionBasedClustering","Projection Based Clustering","1.0.0","GPL-3",NA,19,NA
"SurvDisc","SurvDisc","Discrete Time Survival and Longitudinal Data Analysis","0.1.0","GPL-2",NA,6,">= 2.10.0"
"glm.predict","glm.predict","Predicted Values and Discrete Changes for GLM","2.3-0","GPL (>= 2)",NA,4,">= 3.1.0"
"jsonld","jsonld","JSON for Linking Data","1.0","BSD_3_clause + file LICENSE","5.0.1.9000",3,NA
"weco","weco","Western Electric Company Rules (WECO) for Shewhart Control Chart","1.0","GPL (>= 3)","5.0.1",4,">= 3.3.1"
"AR","AR","Another Look at the Acceptance-Rejection Method","1.0","LGPL (>= 3)",NA,1,NA
"mrbsizeR","mrbsizeR","Scale Space Multiresolution Analysis of Random Signals","1.0.1","GPL-2","6.0.1",9,">= 3.0.0"
"PLMIX","PLMIX","Bayesian Analysis of Finite Mixtures of Plackett-Luce Models for","1.0","GPL (>= 2)","5.0.1",11,NA
"PLmixed","PLmixed","Estimate (Generalized) Linear Mixed Models with Factor","0.1.0","GPL (>= 2)","6.0.1.9000",4,">= 3.2.2"
"pointblank","pointblank","Validation of Local and Remote Data Tables","0.1","MIT + file LICENSE","6.0.1",19,">= 3.4.0"
"RAC","RAC","R Package for Aqua Culture","1.0.1","MIT + file LICENSE","5.0.1",6,">= 3.1.0"
"brt","brt","Biological Relevance Testing","1.1.0","GPL (>= 2)","6.0.1",2,">= 3.2.0"
"estprod","estprod","Estimation of Production Functions","0.0.1","GPL-3","6.0.1",4,">= 3.4.1"
"IMIFA","IMIFA","Fitting, Diagnostics, and Plotting Functions for Infinite","1.1.0","GPL (>= 2)","5.0.1",21,">= 3.3.2"
"Jdmbs","Jdmbs","Monte Carlo Option Pricing Algorithm for Jump Diffusion Model","1.0","GPL (>= 2)","5.0.1",7,">= 3.2.3"
"nprobust","nprobust","Robust Data-Driven Statistical Inference for Local Polynomial","0.0.1","GPL-2",NA,3,NA
"sbart","sbart","Sequential BART for Imputation of Missing Covariates","0.1.0","MIT + file LICENSE","6.0.1",5,">= 2.10"
"BBMV","BBMV","Models for Continuous Traits Evolving in Macroevolutionary","1.0","GPL-2",NA,3,">= 3.1.0"
"convexjlr","convexjlr","Disciplined Convex Programming in R using Convex.jl","0.5.0","Apache License | file LICENSE","6.0.1",6,NA
"predtoolsTS","predtoolsTS","Time Series Prediction","0.1.0","GPL (>= 2)","6.0.1",9,NA
"sqlscore","sqlscore","R Utilities for Generating SQL Queries from Model Objects","0.1.0","MIT + file LICENSE","5.0.1",5,">= 3.3.0"
"mathpix","mathpix","Support for the 'Mathpix' API (Image to 'LaTeX')","0.1.0","GPL (>= 3)","6.0.1",6,">= 3.3.2"
"mrgsolve","mrgsolve","Simulate from ODE-Based Population PK/PD and Systems","0.8.2","GPL (>= 2)","6.0.1",14,">= 3.1.2"
"vdiffr","vdiffr","Visual Regression Testing and Graphical Diffing","0.1.0","GPL-3 | file LICENSE","5.0.1",16,">= 3.2.3"
"FHDI","FHDI","Fractional Hot Deck and Fully Efficient Fractional Imputation","1.0","GPL (>= 2)",NA,0,NA
"SpatialFloor","SpatialFloor","Spatial Floor Simulation (Isotropic)","1.0.1","GPL (>= 2)","6.0.1",4,">= 3.4.0"
"edpclient","edpclient","Empirical Data Platform Client","0.0.1","Apache License (== 2.0)",NA,6,NA
"enviGCMS","enviGCMS","GC-MS Data Analysis for Environmental Science","0.1.1","GPL-2","5.0.1",5,NA
"lavaanPlot","lavaanPlot","Path Diagrams for Lavaan Models via DiagrammeR","0.1.0","GPL (>= 2)","5.0.1",4,NA
"MiRKAT","MiRKAT","Microbiome Regression-Based Kernel Association Test","1.0","GPL (>= 2)",NA,4,">= 2.13.0"
"MittagLeffleR","MittagLeffleR","The Mittag-Leffler Distribution","0.1.0","GPL (>= 2)","6.0.1",6,NA
"nowcasting","nowcasting","Nowcasting Analysis and Create Real-Time Data Basis","0.0.82","GPL-3","6.0.1",10,">= 3.4.0"
"survivALL","survivALL","Continuous Biomarker Assessment by Exhaustive Survival Analysis","0.9.0","MIT + file LICENSE","6.0.1",19,">= 3.3.1"
"worms","worms","Retriving Aphia Information from World Register of Marine","0.2.1","GNU Affero General Public License","6.0.1",2,NA
"EpiCurve","EpiCurve","Plot an Epidemic Curve","1.0-0","LGPL-3",NA,4,NA
"MARX","MARX","Simulation, Estimation and Selection of MARX Models","0.1","GPL-2","5.0.1",4,NA
"VarReg","VarReg","Semi-Parametric Variance Regression","1.0.1","GPL-3","6.0.0",7,">= 2.10"
"APML0","APML0","Augmented and Penalized Minimization Method L0","0.2","GPL (>= 2)","6.0.1",4,NA
"komadown","komadown","R Markdown Templates for the 'KOMA-Script' Classes","0.1.0","GPL-3","6.0.1",5,">= 3.3.3"
"leaflet.esri","leaflet.esri","'ESRI' Bindings for the 'leaflet' Package","0.2","GPL-3 | file LICENSE","6.0.1",15,">= 3.1.0"
"rpql","rpql","Regularized PQL for Joint Selection in GLMMs","0.5","GPL-2",NA,6,NA
"leaflet.extras","leaflet.extras","Extra Functionality for 'leaflet' Package","0.2","GPL-3 | file LICENSE","6.0.1",14,">= 3.1.0"
"s2","s2","Google's S2 Library for Geometry on the Sphere","0.1-1","Apache License (== 2.0)","5.0.1",2,NA
"interflex","interflex","Multiplicative Interaction Models Diagnostics and Visualization","1.0.2","GPL-2",NA,11,NA
"utilsIPEA","utilsIPEA","IPEA Common Functions","0.0.1","GPL-3","6.0.1",4,">= 3.0"
"wiqid","wiqid","Quick and Dirty Estimates for Wildlife Populations","0.1.0","GPL-3",NA,8,NA
"ClusVis","ClusVis","Gaussian-Based Visualization of Generic Model-Based Clustering","1.0.0","GPL (>= 2)","6.0.1",9,">= 3.1"
"denseFLMM","denseFLMM","Functional Linear Mixed Models for Densely Sampled Data","0.1.0","GPL-2","6.0.1",6,">= 3.3.1"
"mschart","mschart","Chart Generation for 'Microsoft Word' and 'Microsoft PowerPoint'","0.2.0","MIT + file LICENSE","6.0.1.9000",13,">= 2.10"
"esmprep","esmprep","Data Preparation During and After the Use of the Experience","0.1.0","GPL (>= 2)","6.0.1",1,">= 3.2"
"HiCblock","HiCblock","Systematic Analysis of Architectural Proteins and Functional","1.0","GPL-2",NA,10,">= 3.4.0"
"HiCglmi","HiCglmi","Probing Factor-Dependent Long-Range Contacts using Regression","1.0","GPL-2",NA,10,">= 3.3.0"
"stampr","stampr","Spatial Temporal Analysis of Moving Polygons","0.1","GPL-3","5.0.1",10,">= 2.10"
"bioOED","bioOED","Sensitivity Analysis and Optimum Experiment Design for Microbial","0.1.1","GPL-3","5.0.1",11,NA
"genderBR","genderBR","Predict Gender from Brazilian First Names","1.0.1","GPL (>= 2)","6.0.1",3,">= 3.1.2"
"uncmbb","uncmbb","UNC Men's Basketball Match Results Since 1949-1950 Season","0.1.0","CC0","5.0.1",1,">= 3.3.2"
"brglm2","brglm2","Bias Reduction in Generalized Linear Models","0.1.3","GPL-2 | GPL-3","5.0.1",9,">= 3.3.0"
"classiFunc","classiFunc","Classification of Functional Data","0.1.0","GPL-3","6.0.1",11,">= 2.10"
"corehunter","corehunter","Fast and Flexible Core Subset Selection","3.0.0","MIT + file LICENSE","5.0.1",5,">= 3.2.3"
"meltt","meltt","Matching Event Data by Location, Time and Type","0.3.0","LGPL-3",NA,8,">= 2.6"
"sglg","sglg","Fitting Semi-Parametric Generalized log-Gamma Regression Models","0.1.0","GPL-3","6.0.1",8,">= 3.1.0"
"foghorn","foghorn","Summarizes CRAN Check Results in the Terminal","0.4.2","MIT + file LICENSE","6.0.0",15,">= 3.3.1"
"yesno","yesno","Ask a Custom Yes-No Question","0.0.2","GPL (>= 2)","6.0.1",3,">= 3.3.0"
"fpp2","fpp2","Principles and Practice"" (2nd Ed)","2.0","GPL (>= 2)",NA,4,">= 2.0.0"
"gldrm","gldrm","Generalized Linear Density Ratio Models","1.1","MIT + file LICENSE","6.0.1",2,">= 3.2.2"
"MultiVarSel","MultiVarSel","Variable Selection in the Multivariate Linear Model","1.0","GPL-2",NA,3,">= 3.0.2"
