"","pkg_name_vec","pkg_title.df"
"gasfluxes","gasfluxes","Greenhouse Gas Flux Calculation from Chamber Measurements"
"MatrixLDA","MatrixLDA","Penalized Matrix-Normal Linear Discriminant Analysis"
"reticulate","reticulate","R Interface to Python"
"rPraat","rPraat","Interface to Praat"
"simmer.plot","simmer.plot","Plotting Methods for 'simmer'"
"ggformula","ggformula","Formula Interface to the Grammar of Graphics"
"icesTAF","icesTAF","Functions to Support the ICES Transparent Assessment Framework"
"pre","pre","Prediction Rule Ensembles"
"TOSTER","TOSTER","Two One-Sided Tests (TOST) Equivalence Testing"
"bayesplot","bayesplot","Plotting for Bayesian Models"
"LncFinder","LncFinder","Long Non-Coding RNA Identification Based on Features of"
"colourvision","colourvision","Colour Vision Models"
"hyper2","hyper2","The Hyperdirichlet Distribution, Mark 2"
"flifo","flifo","Don't Get Stuck with Stacks in R"
"gcKrig","gcKrig","Analyze and Interpolate Geostatistical Count Data using Gaussian"
"geomerge","geomerge","Geospatial Data Integration"
"janitor","janitor","Simple Tools for Examining and Cleaning Dirty Data"
"statip","statip","Miscellaneous Basic Statistical Functions"
"dotCall64","dotCall64","Enhanced Foreign Function Interface Supporting Long Vectors"
"reghelper","reghelper","Helper Functions for Regression Analysis"
"sylly","sylly","Hyphenation and Syllable Counting for Text Analysis"
"makedummies","makedummies","Create Dummy Variables from Categorical Data"
"woeBinning","woeBinning","Supervised WOE Binning of Numeric Variables and Factors"
"CBCgrps","CBCgrps","Compare Baseline Characteristics Between Groups"
"CSeqpat","CSeqpat","Frequent Contiguous Sequential Pattern Mining of Text"
"aws.ec2metadata","aws.ec2metadata","Get EC2 Instance Metadata"
"errors","errors","Error Propagation for R Vectors"
"GPoM","GPoM","Generalized Polynomial Modelling"
"projmanr","projmanr","Project Management Tools"
"regplot","regplot","Enhanced Regression Nomogram Plot"
"dbplyr","dbplyr","A 'dplyr' Back End for Databases"
"netCoin","netCoin","Interactive Networks with R"
"oddsratio","oddsratio","Odds Ratio Calculation for GAM & GLM"
"shinyjqui","shinyjqui","'jQuery UI' Interactions and Effects for Shiny"
"simglm","simglm","Simulate Models Based on the Generalized Linear Model"
"textTinyR","textTinyR","Text Processing for Small or Big Data Files"
"anMC","anMC","Compute High Dimensional Orthant Probabilities"
"safer","safer","Encrypt and Decrypt Strings, R Objects and Files"
"mapsapi","mapsapi","'sf'-Compatible Interface to 'Google Maps' APIs"
"nmaINLA","nmaINLA","Network Meta-Analysis using Integrated Nested Laplace"
"officer","officer","Manipulation of Microsoft Word and PowerPoint Documents"
"textclean","textclean","Text Cleaning Tools"
"WordR","WordR","Rendering Word Documents with R Inline Code"
"ggiraphExtra","ggiraphExtra","Make Interactive 'ggplot2'. Extension to 'ggplot2' and 'ggiraph'"
"MSbox","MSbox","Mass Spectrometry Tools"
"survutils","survutils","Utility Functions for Survival Analysis"
"BAMBI","BAMBI","Bivariate Angular Mixture Models"
"ggpval","ggpval","Annotate Statistical Tests for 'ggplot2'"
"wdman","wdman","'Webdriver'/'Selenium' Binary Manager"
"BALCONY","BALCONY","Better ALignment CONsensus analYsis"
"ggstance","ggstance","Horizontal 'ggplot2' Components"
"lumberjack","lumberjack","Track Changes in Data the Tidy Way"
"Seurat","Seurat","Tools for Single Cell Genomics"
"spind","spind","Spatial Methods and Indices"
"spm","spm","Spatial Predictive Modeling"
"vagalumeR","vagalumeR","Access to the 'Vagalume' API"
"blastula","blastula","Easily Send HTML Email Messages"
"ncar","ncar","Noncompartmental Analysis of Pharmacokinetic Data for CDISC"
"NonCompart","NonCompart","Noncompartmental Analysis of Pharmacokinetics"
"rwalkr","rwalkr","API to Melbourne Pedestrian Data"
"binman","binman","A Binary Download Manager"
"CNLTreg","CNLTreg","Complex-Valued Wavelet Lifting for Signal Denoising"
"CNLTtsa","CNLTtsa","Complex-Valued Wavelet Lifting for Univariate and Bivariate Time"
"future.batchtools","future.batchtools","A Future API for Parallel and Distributed Processing using"
"qqplotr","qqplotr","Quantile-Quantile Plot Extensions for 'ggplot2'"
"rmpw","rmpw","Causal Mediation Analysis Using Weighting Approach"
"SmoothWin","SmoothWin","Soft Windowing on Linear Regression"
"CATkit","CATkit","Analyze Periodicity"
"CodeDepends","CodeDepends","Analysis of R Code for Reproducible Research and Code"
"dgo","dgo","Dynamic Estimation of Group-Level Opinion"
"easyDes","easyDes","An Easy Way to Descriptive Analysis"
"glue","glue","Interpreted String Literals"
"pinp","pinp","'pinp' is not 'PNAS'"
"rmda","rmda","Risk Model Decision Analysis"
"RTransProb","RTransProb","Analyze and Forecast Credit Migrations"
"scatterpie","scatterpie","Scatterpie Plot"
"BayesianTools","BayesianTools","General-Purpose MCMC and SMC Samplers and Tools for Bayesian"
"beyondWhittle","beyondWhittle","Bayesian Spectral Inference for Stationary Time Series"
"DendroSync","DendroSync","A Set of Tools for Calculating Spatial Synchrony Between"
"GCalignR","GCalignR","Simple Peak Alignment for Gas-Chromatography Data"
"keyring","keyring","Access the System Credential Store from R"
"ordinalForest","ordinalForest","Prediction and Class Width Inference with"
"spacyr","spacyr","R Wrapper to the spaCy NLP Library"
"WRTDStidal","WRTDStidal","Weighted Regression for Water Quality Evaluation in Tidal Waters"
"benchr","benchr","High Precise Measurement of R Expressions Execution Time"
"GreedyExperimentalDesign","GreedyExperimentalDesign","Greedy Experimental Design Construction"
"MODIStsp","MODIStsp","A Tool for Automating Download and Preprocessing of MODIS Land"
"Rlinsolve","Rlinsolve","Iterative Solvers for (Sparse) Linear System of Equations"
"SpaDES.tools","SpaDES.tools","Additional Tools for Developing Spatially Explicit Discrete"
"FRK","FRK","Fixed Rank Kriging"
"htree","htree","Historical Tree Ensembles for Longitudinal Data"
"incadata","incadata","Recognize and Handle Data in Formats Used by Swedish Cancer"
"Rlda","Rlda","Bayesian LDA for Mixed-Membership Clustering Analysis"
"gemlog","gemlog","File Conversion for 'Gem Infrasound Logger'"
"MAGNAMWAR","MAGNAMWAR","A Pipeline for Meta-Genome Wide Association"
"qGaussian","qGaussian","The q-Gaussian Distribution"
"spass","spass","Study Planning and Adaptation of Sample Size"
"desctable","desctable","Produce Descriptive and Comparative Tables Easily"
"polyPK","polyPK","The Pharmacokinetics (PK) of Multi-Component Drugs Using a"
"bayesDP","bayesDP","Tools for the Bayesian Discount Prior Function"
"cetcolor","cetcolor","CET Perceptually Uniform Colour Maps"
"crul","crul","HTTP Client"
"MetaSubtract","MetaSubtract","Subtracting Summary Statistics of One or more Cohorts from"
"pdfsearch","pdfsearch","Search Tools for PDF Files"
"qicharts2","qicharts2","Quality Improvement Charts"
"rhoR","rhoR","Rho for Inter Rater Reliability"
"spelling","spelling","Tools for Spell Checking in R"
"phylopath","phylopath","Perform Phylogenetic Path Analysis"
"ggforce","ggforce","Accelerating 'ggplot2'"
"ggraph","ggraph","An Implementation of Grammar of Graphics for Graphs and Networks"
"AcousticNDLCodeR","AcousticNDLCodeR","Coding Sound Files for Use with NDL"
"CytobankAPI","CytobankAPI","Cytobank API Wrapper for R"
"docxtools","docxtools","Tools for R Markdown to Docx Documents"
"ggfittext","ggfittext","Fit Text Inside a Box in 'ggplot2'"
"bmixture","bmixture","Bayesian Estimation for Finite Mixture of Distributions"
"permDep","permDep","Permutation Tests for General Dependent Truncation"
"satscanMapper","satscanMapper","'SaTScan' (TM) Results Mapper"
"GADMTools","GADMTools","Easy Use of 'GADM' Shapefiles"
"kernelboot","kernelboot","Smoothed Bootstrap and Random Generation from Kernel Densities"
"visdat","visdat","Preliminary Data Visualisation"
"DatabionicSwarm","DatabionicSwarm","Swarm Intelligence for Self-Organized Clustering"
"GeneralizedUmatrix","GeneralizedUmatrix","Credible Visualization for Two-Dimensional Projections of Data"
"ggedit","ggedit","Interactive 'ggplot2' Layer and Theme Aesthetic Editor"
"glmmTMB","glmmTMB","Generalized Linear Mixed Models using Template Model Builder"
"processmapR","processmapR","Construct Process Maps Using Event Data"
"spup","spup","Uncertainty Propagation Analysis"
"disco","disco","Discordance and Concordance of Transcriptomic Responses"
"drtmle","drtmle","Doubly-Robust Nonparametric Estimation and Inference"
"neatmaps","neatmaps","Heatmaps for Multiple Network Data"
"simule","simule","A Constrained L1 Minimization Approach for Estimating Multiple"
"bupaR","bupaR","Business Process Analytics in R"
"GenomicMating","GenomicMating","Efficient Breeding by Genomic Mating"
"ImputeRobust","ImputeRobust","Robust Multiple Imputation with Generalized Additive Models for"
"biolink","biolink","Create Hyperlinks to Biological Databases and Resources"
"crplyr","crplyr","A 'dplyr' Interface for Crunch"
"expint","expint","Exponential Integral and Incomplete Gamma Function"
"learnr","learnr","Interactive Tutorials for R"
"mfe","mfe","Meta-Feature Extractor"
"multicmp","multicmp","Flexible Modeling of Multivariate Count Data via the"
"pool","pool","Object Pooling"
"SCORPIUS","SCORPIUS","Inferring Developmental Chronologies from Single-Cell RNA"
"support.BWS2","support.BWS2","Basic Functions for Supporting an Implementation of Case 2"
"taxlist","taxlist","Handling Taxonomic Lists"
"vegtable","vegtable","Handling Vegetation Data Sets"
"cld3","cld3","Google's Compact Language Detector 3"
"dynOmics","dynOmics","Fast Fourier Transform to Identify Associations Between Time"
"prioritizr","prioritizr","Systematic Conservation Prioritization in R"
"raptr","raptr","Representative and Adequate Prioritization Toolkit in R"
"ropercenter","ropercenter","Reproducible Data Retrieval from the Roper Center Data Archive"
"SimMultiCorrData","SimMultiCorrData","Simulation of Correlated Data with Multiple Variable Types"
"colordistance","colordistance","Distance Metrics for Image Color Similarity"
"CytobankAPIstats","CytobankAPIstats","Computes Signaling and Population Stats for Cytometry Data on"
"dng","dng","Distributions and Gradients"
"GBJ","GBJ","Generalized Berk-Jones Statistic for Set-Based Inference"
"ClusterBootstrap","ClusterBootstrap","Analyze Clustered Data with Generalized Linear Models using the"
"fetchR","fetchR","Calculate Wind Fetch in R"
"jpmesh","jpmesh","Utilities for Japanese Mesh Code"
"padr","padr","Quickly Get Datetime Data Ready for Analysis"
"treeDA","treeDA","Tree-Based Discriminant Analysis"
"unpivotr","unpivotr","Unpivot Complex and Irregular Data Layouts"
"catcont","catcont","Test for and Identify Categorical or Continuous Values"
"cellWise","cellWise","Analyzing Data with Cellwise Outliers"
"multinet","multinet","Analysis and Mining of Multilayer Social Networks"
"phylogram","phylogram","Dendrograms for Evolutionary Analysis"
"coreCT","coreCT","Programmatic Analysis of Sediment Cores Using Computed"
"mosaicCore","mosaicCore","Common Utilities for Other MOSAIC-Family Packages"
"patternplot","patternplot","Versatile Pie Chart using Patterns, Colors, and Images"
"RIA","RIA","Radiomics Image Analysis Toolbox for Grayscale Images"
"splot","splot","Split Plot"
"hexSticker","hexSticker","Create Hexagon Sticker in R"
"KnowBR","KnowBR","Discriminating Well Surveyed Spatial Units from Exhaustive"
"subscreen","subscreen","Systematic Screening of Study Data for Subgroup Effects"
"BUCSS","BUCSS","Bias and Uncertainty Corrected Sample Size"
"fastDummies","fastDummies","Fast Creation of Dummy (Binary) Columns from Categorical"
"googleLanguageR","googleLanguageR","Call Google's 'Natural Language' API, 'Cloud Translation' API"
"LEGIT","LEGIT","Latent Environmental & Genetic InTeraction (LEGIT) Model"
"mlrMBO","mlrMBO","A Toolbox for Model-Based Optimization of Expensive Black-Box"
"tidyxl","tidyxl","Read Untidy Excel Files"
"momentuHMM","momentuHMM","Maximum Likelihood Analysis of Animal Movement Behavior Using"
"womblR","womblR","Spatiotemporal Boundary Detection Model for Areal Unit Data"
"chinese.misc","chinese.misc","Miscellaneous Tools for Chinese Text Mining and More"
"cstab","cstab","Selection of Number of Clusters via Normalized Clustering"
"ggimage","ggimage","Use Image in 'ggplot2'"
"prodest","prodest","Production Function Estimation"
"rdiversity","rdiversity","Measurement and Partitioning of Similarity-Sensitive"
"spam64","spam64","64-Bit Extension of the SPArse Matrix R Package 'spam'"
"uptasticsearch","uptasticsearch","Get Data Frame Representations of 'Elasticsearch' Results"
"ahnr","ahnr","An Implementation of the Artificial Hydrocarbon Networks"
"asciiSetupReader","asciiSetupReader","Reads 'SPSS' and 'SAS' Files from ASCII Data Files (.txt) and"
"bayeslm","bayeslm","Efficient Sampling for Gaussian Linear Regression with Arbitrary"
"CircularDDM","CircularDDM","Circular Drift-Diffusion Model"
"MetaComp","MetaComp","EDGE Taxonomy Assignments Visualization"
"fuser","fuser","Fused Lasso for High-Dimensional Regression over Groups"
"walrus","walrus","Robust Statistical Methods"
"AdhereR","AdhereR","Adherence to Medications"
"bsamGP","bsamGP","Bayesian Spectral Analysis Models using Gaussian Process Priors"
"loder","loder","Dependency-Free Access to PNG Image Files"
"MultisiteMediation","MultisiteMediation","Causal Mediation Analysis in Multisite Trials"
"prophet","prophet","Automatic Forecasting Procedure"
"jpndistrict","jpndistrict","Create Japanese Administration Area and Office Maps"
"lingtypology","lingtypology","Linguistic Typology and Mapping"
"tuckerR.mmgg","tuckerR.mmgg","Three-Mode Principal Components Analysis"
"ROpenDota","ROpenDota","Access OpenDota Services in R"
"beginr","beginr","Functions for R Beginners"
"diceR","diceR","Diverse Cluster Ensemble in R"
"jwutil","jwutil","Tools for Data Manipulation and Testing"
"leaflet.minicharts","leaflet.minicharts","Minicharts for Interactive Maps"
"manipulateWidget","manipulateWidget","Add Even More Interactivity to Interactive Charts"
"ompr","ompr","Model and Solve Mixed Integer Linear Programs"
"ompr.roi","ompr.roi","A Solver for 'ompr' that Uses the R Optimization Infrastructure"
"rclimateca","rclimateca","Fetch Climate Data from Environment Canada"
"StatCharrms","StatCharrms","Statistical Analysis of Chemistry, Histopathology, and"
"teachingApps","teachingApps","Apps for Teaching Statistics, R Programming, and Shiny App"
"odbc","odbc","Connect to ODBC Compatible Databases (using the DBI Interface)"
"bivrp","bivrp","Bivariate Residual Plots with Simulation Polygons"
"briskaR","briskaR","Biological Risk Assessment"
"ConR","ConR","Computation of Parameters Used in Preliminary Assessment of"
"fst","fst","Lightning Fast Serialization of Data Frames for R"
"LAM","LAM","Some Latent Variable Models"
"mixR","mixR","Finite Mixture Modeling for Raw and Binned Data"
"RegularizedSCA","RegularizedSCA","Regularized Simultaneous Component Based Data Integration"
"textshape","textshape","Tools for Reshaping Text"
"tigreBrowserWriter","tigreBrowserWriter","'tigreBrowser' Database Writer"
"wikilake","wikilake","Scrape Lakes Metadata Tables from Wikipedia"
"SPAtest","SPAtest","Score Test Based on Saddlepoint Approximation"
"alterryx","alterryx","An 'API' Client for the 'Alteryx' Gallery"
"networktools","networktools","Assorted Tools for Identifying Important Nodes in Networks"
"powerCompRisk","powerCompRisk","Power Analysis Tool for Joint Testing Hazards with Competing"
"Tcomp","Tcomp","Data from the 2010 Tourism Forecasting Competition"
"pkr","pkr","Pharmacokinetics in R"
"qrcmNP","qrcmNP","Nonlinear and Penalized Quantile Regression Coefficients"
"rwc","rwc","Random Walk Covariance Models"
"tangram","tangram","The Grammar of Tables"
"excerptr","excerptr","Excerpt Structuring Comments from Your Code File and Set a Table"
"LocalControl","LocalControl","An R Package for Generating High Quality"
"shinymaterial","shinymaterial","Implement Material Design in Shiny Applications"
"hmi","hmi","Hierarchical Multiple Imputation"
"PSTR","PSTR","Panel Smooth Transition Regression Modelling"
"sitreeE","sitreeE","Sitree Extensions"
"welchADF","welchADF","Welch-James Statistic for Robust Hypothesis Testing under"
"metaforest","metaforest","Exploring Heterogeneity in Meta-Analysis using Random Forests"
"redux","redux","R Bindings to 'hiredis'"
"graphkernels","graphkernels","Graph Kernels"
"purrrlyr","purrrlyr","Tools at the Intersection of 'purrr' and 'dplyr'"
"ramcmc","ramcmc","Robust Adaptive Metropolis Algorithm"
"RatingScaleReduction","RatingScaleReduction","Rating Scale Reduction Procedure"
"RchivalTag","RchivalTag","Analyzing Archival Tagging Data"
"rdwd","rdwd","Select and Download Climate Data from 'DWD' (German Weather"
"StructFDR","StructFDR","False Discovery Control Procedure Integrating the Prior"
"DClusterm","DClusterm","Model-Based Detection of Disease Clusters"
"joineRML","joineRML","Joint Modelling of Multivariate Longitudinal Data and"
"qgam","qgam","Smooth Additive Quantile Regression Models"
"RHMS","RHMS","Hydrologic Modelling System for R Users"
"MetaLonDA","MetaLonDA","Metagenomics Longitudinal Differential Abundant Method"
"aws.s3","aws.s3","AWS S3 Client Package"
"clampSeg","clampSeg","Idealisation of Patch Clamp Recordings"
"DisHet","DisHet","Estimate the Gene Expression Levels and Component Proportions of"
"edgarWebR","edgarWebR","SEC Filings Access"
"PeakSegOptimal","PeakSegOptimal","Optimal Segmentation Subject to Up-Down Constraints"
"BiDAG","BiDAG","Software"
"DPP","DPP","Inference of Parameters of Normal Distributions from a Mixture"
"lvec","lvec","Out of Memory Vectors"
"neurohcp","neurohcp","Human Connectome Project Interface"
"bssm","bssm","Bayesian Inference of State Space Models"
"frailtyEM","frailtyEM","Fitting Frailty Models with the EM Algorithm"
"ukbtools","ukbtools","Manipulate and Explore UK Biobank Data"
"unsystation","unsystation","Stationarity Test Based on Unsystematic Sub-Sampling"
"ALA4R","ALA4R","Atlas of Living Australia (ALA) Data and Resources in R"
"genotypeR","genotypeR","SNP Genotype Marker Design and Analysis"
"ICtest","ICtest","Estimating and Testing the Number of Interesting Components in"
"margins","margins","Marginal Effects for Model Objects"
"microPop","microPop","Modelling Microbial Populations"
"philentropy","philentropy","Similarity and Distance Quantification Between Probability"
"prediction","prediction","Tidy, Type-Safe 'prediction()' Methods"
"quadprogXT","quadprogXT","Quadratic Programming with Absolute Value Constraints"
"regnet","regnet","Network-Based Regularization for Generalized Linear Models"
"templates","templates","A System for Working with Templates"
"ziphsmm","ziphsmm","Zero-Inflated Poisson Hidden (Semi-)Markov Models"
"AIG","AIG","Automatic Item Generator"
"easycsv","easycsv","Load Multiple 'csv' and 'txt' Tables"
"kableExtra","kableExtra","Construct Complex Table with 'Kable' and Pipe Syntax"
"tabularaster","tabularaster","Tidy Tools for 'Raster' Data"
"MAVE","MAVE","Methods for Dimension Reduction"
"HURDAT","HURDAT","Hurricane Re-Analysis Project"
"kutils","kutils","Project Management Tools"
"StepSignalMargiLike","StepSignalMargiLike","Step-Wise Signal Extraction via Marginal Likelihood"
"CrossValidate","CrossValidate","Classes and Methods for Cross Validation of ""Class Prediction"""
"GAparsimony","GAparsimony","Searching Parsimony Models with Genetic Algorithms"
"ggjoy","ggjoy","Joyplots in 'ggplot2'"
"Modeler","Modeler","Classes and Methods for Training and Using Binary Prediction"
"randgeo","randgeo","Generate Random 'WKT' or 'GeoJSON'"
"rdist","rdist","Calculate Pairwise Distances"
"rsurface","rsurface","Design of Rotatable Central Composite Experiments and Response"
"SIBERG","SIBERG","Systematic Identification of Bimodally Expressed Genes Using"
"simsurv","simsurv","Simulate Survival Data"
"Umpire","Umpire","Simulating Realistic Gene Expression Data"
"ClassComparison","ClassComparison","Classes and Methods for ""Class Comparison"" Problems on"
"datadogr","datadogr","R Client for 'Datadog' API"
"diffusr","diffusr","Network Diffusion Algorithms"
"implyr","implyr","R Interface for Apache Impala"
"oompaBase","oompaBase","Class Unions, Matrix Operations, and Color Schemes for OOMPA"
"Polychrome","Polychrome","Qualitative Palettes with Many Colors"
"PreProcess","PreProcess","Basic Functions for Pre-Processing Microarrays"
"TailRank","TailRank","The Tail-Rank Statistic"
"tukeytrend","tukeytrend","Tukeys Trend Test via Multiple Marginal Models"
"ChoR","ChoR","Chordalysis R Package"
"datasus","datasus","An Interface to DATASUS System"
"rust","rust","Ratio-of-Uniforms Simulation with Transformation"
"HTSSIP","HTSSIP","High Throughput Sequencing of Stable Isotope Probing Data"
"missRanger","missRanger","Fast Imputation of Missing Values"
"PBNPA","PBNPA","Permutation Based Non-Parametric Analysis of CRISPR Screen Data"
"vortexR","vortexR","Post Vortex Simulation Analysis"
"base64url","base64url","Fast and URL-Safe Base64 Encoder and Decoder"
"ffstream","ffstream","Forgetting Factor Methods for Change Detection in Streaming Data"
"MTA","MTA","Multiscalar Territorial Analysis"
"rbi","rbi","R Interface to LibBi"
"treespace","treespace","Statistical Exploration of Landscapes of Phylogenetic Trees"
"mltools","mltools","Machine Learning Tools"
"ASIP","ASIP","Automated Satellite Image Processing"
"cld2","cld2","Google's Compact Language Detector 2"
"dartR","dartR","Importing and Analysing Snp and Silicodart Data Generated by"
"Knoema","Knoema","Interface to the Knoema API"
"MEclustnet","MEclustnet","Fits the Mixture of Experts Latent Position Cluster Model to"
"openSTARS","openSTARS","An Open Source Implementation of the 'ArcGIS' Toolbox 'STARS'"
"Select","Select","Estimates Species Abundances Based on Functional Traits"
"shiny.semantic","shiny.semantic","Semantic UI Support for Shiny"
"blandr","blandr","Bland-Altman Method Comparison"
"MVisAGe","MVisAGe","Compute and Visualize Bivariate Associations"
"readtext","readtext","Import and Handling for Plain and Formatted Text Files"
"ROI.plugin.alabama","ROI.plugin.alabama","'alabama' Plugin for the 'R' Optimization Infrastructure"
"writexl","writexl","Export Data Frames to 'xlsx' Format"
"BIEN","BIEN","Tools for Accessing the Botanical Ecology and Information"
"tidyquant","tidyquant","Tidy Quantitative Financial Analysis"
"coga","coga","Convolution of Gamma Distributions"
"DescriptiveStats.OBeu","DescriptiveStats.OBeu","Descriptive Statistics OpenBudgets.eu"
"gdpc","gdpc","Generalized Dynamic Principal Components"
"LeArEst","LeArEst","Border and Area Estimation of Data Measured with Additive Error"
"preference","preference","2-Stage Clinical Trial Design and Analysis"
"CondIndTests","CondIndTests","Nonlinear Conditional Independence Tests"
"dlib","dlib","Allow Access to the 'Dlib' C++ Library"
"gWQS","gWQS","Generalized Weighted Quantile Sum Regression"
"lmvar","lmvar","Linear Regression with Non-Constant Variances"
"nardl","nardl","Nonlinear Cointegrating Autoregressive Distributed Lag Model"
"sensors4plumes","sensors4plumes","Test and Optimise Sampling Designs Based on Plume Simulations"
"imagine","imagine","Imaging Engine, Tools for Application of Image Filters to Data"
"optional","optional","Optional Types and Pattern Matching"
"FactoInvestigate","FactoInvestigate","Automatic Description of Factorial Analysis"
"pbdRPC","pbdRPC","Programming with Big Data -- Remote Procedure Call"
"rpms","rpms","Recursive Partitioning for Modeling Survey Data"
"DAC","DAC","Calculating Data Agreement Criterion Scores to Rank Experts"
"olsrr","olsrr","Tools for Teaching and Learning OLS Regression"
"ProjectionBasedClustering","ProjectionBasedClustering","Projection Based Clustering"
"SurvDisc","SurvDisc","Discrete Time Survival and Longitudinal Data Analysis"
"glm.predict","glm.predict","Predicted Values and Discrete Changes for GLM"
"jsonld","jsonld","JSON for Linking Data"
"weco","weco","Western Electric Company Rules (WECO) for Shewhart Control Chart"
"AR","AR","Another Look at the Acceptance-Rejection Method"
"mrbsizeR","mrbsizeR","Scale Space Multiresolution Analysis of Random Signals"
"PLMIX","PLMIX","Bayesian Analysis of Finite Mixtures of Plackett-Luce Models for"
"PLmixed","PLmixed","Estimate (Generalized) Linear Mixed Models with Factor"
"pointblank","pointblank","Validation of Local and Remote Data Tables"
"RAC","RAC","R Package for Aqua Culture"
"brt","brt","Biological Relevance Testing"
"estprod","estprod","Estimation of Production Functions"
"IMIFA","IMIFA","Fitting, Diagnostics, and Plotting Functions for Infinite"
"Jdmbs","Jdmbs","Monte Carlo Option Pricing Algorithm for Jump Diffusion Model"
"nprobust","nprobust","Robust Data-Driven Statistical Inference for Local Polynomial"
"sbart","sbart","Sequential BART for Imputation of Missing Covariates"
"BBMV","BBMV","Models for Continuous Traits Evolving in Macroevolutionary"
"convexjlr","convexjlr","Disciplined Convex Programming in R using Convex.jl"
"predtoolsTS","predtoolsTS","Time Series Prediction"
"sqlscore","sqlscore","R Utilities for Generating SQL Queries from Model Objects"
"mathpix","mathpix","Support for the 'Mathpix' API (Image to 'LaTeX')"
"mrgsolve","mrgsolve","Simulate from ODE-Based Population PK/PD and Systems"
"vdiffr","vdiffr","Visual Regression Testing and Graphical Diffing"
"FHDI","FHDI","Fractional Hot Deck and Fully Efficient Fractional Imputation"
"SpatialFloor","SpatialFloor","Spatial Floor Simulation (Isotropic)"
"edpclient","edpclient","Empirical Data Platform Client"
"enviGCMS","enviGCMS","GC-MS Data Analysis for Environmental Science"
"lavaanPlot","lavaanPlot","Path Diagrams for Lavaan Models via DiagrammeR"
"MiRKAT","MiRKAT","Microbiome Regression-Based Kernel Association Test"
"MittagLeffleR","MittagLeffleR","The Mittag-Leffler Distribution"
"nowcasting","nowcasting","Nowcasting Analysis and Create Real-Time Data Basis"
"survivALL","survivALL","Continuous Biomarker Assessment by Exhaustive Survival Analysis"
"worms","worms","Retriving Aphia Information from World Register of Marine"
"EpiCurve","EpiCurve","Plot an Epidemic Curve"
"MARX","MARX","Simulation, Estimation and Selection of MARX Models"
"VarReg","VarReg","Semi-Parametric Variance Regression"
"APML0","APML0","Augmented and Penalized Minimization Method L0"
"komadown","komadown","R Markdown Templates for the 'KOMA-Script' Classes"
"leaflet.esri","leaflet.esri","'ESRI' Bindings for the 'leaflet' Package"
"rpql","rpql","Regularized PQL for Joint Selection in GLMMs"
"leaflet.extras","leaflet.extras","Extra Functionality for 'leaflet' Package"
"s2","s2","Google's S2 Library for Geometry on the Sphere"
"interflex","interflex","Multiplicative Interaction Models Diagnostics and Visualization"
"utilsIPEA","utilsIPEA","IPEA Common Functions"
"wiqid","wiqid","Quick and Dirty Estimates for Wildlife Populations"
"ClusVis","ClusVis","Gaussian-Based Visualization of Generic Model-Based Clustering"
"denseFLMM","denseFLMM","Functional Linear Mixed Models for Densely Sampled Data"
"mschart","mschart","Chart Generation for 'Microsoft Word' and 'Microsoft PowerPoint'"
"esmprep","esmprep","Data Preparation During and After the Use of the Experience"
"HiCblock","HiCblock","Systematic Analysis of Architectural Proteins and Functional"
"HiCglmi","HiCglmi","Probing Factor-Dependent Long-Range Contacts using Regression"
"stampr","stampr","Spatial Temporal Analysis of Moving Polygons"
"bioOED","bioOED","Sensitivity Analysis and Optimum Experiment Design for Microbial"
"genderBR","genderBR","Predict Gender from Brazilian First Names"
"uncmbb","uncmbb","UNC Men's Basketball Match Results Since 1949-1950 Season"
"brglm2","brglm2","Bias Reduction in Generalized Linear Models"
"classiFunc","classiFunc","Classification of Functional Data"
"corehunter","corehunter","Fast and Flexible Core Subset Selection"
"meltt","meltt","Matching Event Data by Location, Time and Type"
"sglg","sglg","Fitting Semi-Parametric Generalized log-Gamma Regression Models"
"foghorn","foghorn","Summarizes CRAN Check Results in the Terminal"
"yesno","yesno","Ask a Custom Yes-No Question"
"fpp2","fpp2","Principles and Practice"" (2nd Ed)"
"gldrm","gldrm","Generalized Linear Density Ratio Models"
"MultiVarSel","MultiVarSel","Variable Selection in the Multivariate Linear Model"
"survtmle","survtmle","Compute Targeted Minimum Loss-Based Estimates in Right-Censored"
"tsensembler","tsensembler","Dynamic Ensembles for Time Series Forecasting"
"bioimagetools","bioimagetools","Some Tools for Imaging"
"di","di","Deficit Index (DI)"
"snpReady","snpReady","Preparing Genotypic Datasets in Order to Run Genomic Analysis"
"nmw","nmw","Understanding Nonlinear Mixed Effects Modeling for Population"
"swmmr","swmmr","R Interface for US EPA's SWMM"
"AnnotationBustR","AnnotationBustR","Extract Subsequences from GenBank Annotations"
"esvis","esvis","Visualization and Estimation of Effect Sizes"
"SentimentAnalysis","SentimentAnalysis","Dictionary-Based Sentiment Analysis"
"spc4sts","spc4sts","Statistical Process Control for Stochastic Textured Surfaces"
"textstem","textstem","Tools for Stemming and Lemmatizing Text"
"ggconf","ggconf","Simpler Appearance Modification of 'ggplot2'"
"liureg","liureg","Liu Regression with Liu Biasing Parameters and Statistics"
"ReinforcementLearning","ReinforcementLearning","Model-Free Reinforcement Learning"
"tint","tint","Tint is not Tufte"
"alfred","alfred","Downloading Time Series from ALFRED Database for Various"
"eply","eply","Apply a Function Over Expressions"
"RWildbook","RWildbook","Interface for the 'Wildbook' Wildlife Data Management Framework"
